iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SSD,Africa,South Sudan,10748272,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,57.85,0.433
ESP,Europe,Spain,47486935,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,,2.97,83.56,0.904
LKA,Asia,Sri Lanka,21773441,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,,3.6,76.98,0.782
SDN,Africa,Sudan,45657202,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,23.437,0.8,65.31,0.51
SUR,South America,Suriname,612984,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,67.779,3.1,71.68,0.738
SWE,Europe,Sweden,10467097,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,,2.22,82.8,0.945
CHE,Europe,Switzerland,8691406,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,,4.53,83.78,0.955
SYR,Asia,Syria,21324367,,21.7,,2.577,,,376.264,,70.598,1.5,72.7,0.567
TWN,Asia,Taiwan,23859912,,42.2,,8.353,,,103.957,,,,80.46,
TJK,Asia,Tajikistan,9750064,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,72.704,4.8,71.1,0.668
TZA,Africa,Tanzania,63588334,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,47.953,0.7,65.46,0.529
THA,Asia,Thailand,71601103,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,90.67,2.1,77.15,0.777
TLS,Asia,Timor,1320942,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,28.178,5.9,69.5,0.606
TGO,Africa,Togo,8644829,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,10.475,0.7,61.04,0.515
TKL,Oceania,Tokelau,1849,,,,,,,,,,,81.86,
TON,Oceania,Tonga,106017,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,,2.6,70.91,0.725
TTO,North America,Trinidad and Tobago,1525663,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,89.443,3,73.51,0.796
TUN,Africa,Tunisia,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,78.687,2.3,76.7,0.74
TUR,Asia,Turkey,84775404,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,,2.81,77.69,0.82
TKM,Asia,Turkmenistan,6341855,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,100,7.4,68.19,0.715
TCA,North America,Turks and Caicos Islands,45114,37.312,,,,,,,,,,80.22,
TUV,Oceania,Tuvalu,11204,373.067,,,,3575.104,3.3,,27.25,,,67.57,
UGA,Africa,Uganda,45853778,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,21.222,0.5,63.37,0.544
UKR,Europe,Ukraine,43531422,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,,8.8,72.06,0.779
ARE,Asia,United Arab Emirates,9365144,112.442,34,1.144,0.526,67293.483,,317.84,17.26,,1.2,77.97,0.89
GBR,Europe,United Kingdom,67281040,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,,2.54,81.32,0.932
USA,North America,United States,336997624,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,,2.77,78.86,0.926
VIR,North America,United States Virgin Islands,100091,306.48,42.2,18.601,10.799,,,273.67,12.26,,,80.58,
OWID_UMC,,Upper middle income,2501427940,,,,,,,,,,,,
URY,South America,Uruguay,3426260,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,,2.8,77.91,0.817
